instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT319	e65c109d-e2f1-439e-b50f-9c8364d1bdd5	2024-02-09T18:39:31+00:00	2.5	48832	39648	35312	5000	0.812	0.723	1.64	1.637	0	0	-40436	-44626
740	HOT319	e65c109d-e2f1-439e-b50f-9c8364d1bdd5	2024-02-09T18:39:31+00:00	50.0	49472	36464	33808	5000	0.737	0.683	1.635	1.632	0	0	-44423	-46930
740	HOT319	e65c109d-e2f1-439e-b50f-9c8364d1bdd5	2024-02-09T18:39:31+00:00	97.5	49984	33344	32048	5000	0.667	0.641	1.63	1.627	0	0	-48130	-49276
