instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	KM1920	1371f626-ef3a-4298-af84-e8ef168c549e	2024-02-09T18:39:31+00:00	2.5	45120	21712	21984	5000	0.437	0.443	1.904	2.034	2000	2000	-64196	-69790
751	KM1920	1371f626-ef3a-4298-af84-e8ef168c549e	2024-02-09T18:39:31+00:00	50.0	45616	19040	21072	5000	0.374	0.418	1.91	2.04	2000	2000	-68087	-71985
751	KM1920	1371f626-ef3a-4298-af84-e8ef168c549e	2024-02-09T18:39:31+00:00	97.5	45952	17328	20272	5000	0.334	0.398	1.915	2.047	2000	2000	-70670	-73792
