instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	TN398	7eda37dd-cdd0-4200-b303-6128291da556	2024-02-09T18:39:31+00:00	2.5	58880	40528	38832	15000	0.773	0.744	1.64	1.637	-5000	-5000	-56035	-57555
740	TN398	7eda37dd-cdd0-4200-b303-6128291da556	2024-02-09T18:39:31+00:00	50.0	59408	39280	36944	15000	0.745	0.706	1.635	1.632	-5000	-5000	-57852	-60010
740	TN398	7eda37dd-cdd0-4200-b303-6128291da556	2024-02-09T18:39:31+00:00	97.5	59808	38144	35056	15000	0.721	0.67	1.63	1.627	-5000	-5000	-59343	-62252
