instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	TN266	7f696c2b-917c-44b2-85ea-838792f2b313	2024-02-09T18:39:31+00:00	2.5	29888	19408	21264	15000	0.817	0.879	1.64	1.637	-5000	-5000	-29608	-27663
740	TN266	7f696c2b-917c-44b2-85ea-838792f2b313	2024-02-09T18:39:31+00:00	50.0	30592	17912	20304	15000	0.749	0.827	1.635	1.632	-5000	-5000	-32106	-29622
740	TN266	7f696c2b-917c-44b2-85ea-838792f2b313	2024-02-09T18:39:31+00:00	97.5	31328	16240	19280	15000	0.678	0.775	1.63	1.627	-5000	-5000	-34825	-31691
