instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	TN267	692e1d3b-dcc7-4473-91da-9d58489f54fa	2024-02-09T18:39:31+00:00	2.5	23920	11800	12184	15000	0.702	0.718	1.64	1.637	-5000	-5000	-27429	-26973
740	TN267	692e1d3b-dcc7-4473-91da-9d58489f54fa	2024-02-09T18:39:31+00:00	50.0	24288	10736	8160	15000	0.648	0.542	1.635	1.632	-5000	-5000	-28975	-31478
740	TN267	692e1d3b-dcc7-4473-91da-9d58489f54fa	2024-02-09T18:39:31+00:00	97.5	24656	9632	4704	15000	0.593	0.394	1.63	1.627	-5000	-5000	-30557	-35411
