instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	KM1906	0ff65719-580f-44c3-aed3-33b1aaa79998	2024-02-09T18:39:31+00:00	2.5	47184	42620	46800	5000	0.903	0.992	1.64	1.637	0	0	-34762	-30440
740	KM1906	0ff65719-580f-44c3-aed3-33b1aaa79998	2024-02-09T18:39:31+00:00	50.0	47984	39552	43904	5000	0.824	0.915	1.635	1.632	0	0	-38902	-34406
740	KM1906	0ff65719-580f-44c3-aed3-33b1aaa79998	2024-02-09T18:39:31+00:00	97.5	48624	35236	39376	5000	0.725	0.81	1.63	1.627	0	0	-44021	-39735
