instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	RR2106	a7125bc8-d8a5-4b36-915b-a822eafa83b3	2024-02-09T18:39:31+00:00	2.5	52688	39580	45136	15000	0.846	0.952	1.904	2.034	-5000	-5000	-60738	-62031
751	RR2106	a7125bc8-d8a5-4b36-915b-a822eafa83b3	2024-02-09T18:39:31+00:00	50.0	53008	38752	41976	15000	0.825	0.886	1.91	2.04	-5000	-5000	-62493	-66160
751	RR2106	a7125bc8-d8a5-4b36-915b-a822eafa83b3	2024-02-09T18:39:31+00:00	97.5	53312	37860	39092	15000	0.804	0.827	1.915	2.047	-5000	-5000	-64232	-70038
