instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SCOPE_17	e19b9ba9-3269-452a-ad6f-924d2850bc3c	2024-02-09T18:39:31+00:00	2.5	49696	37312	37856	5000	0.744	0.724	1.904	2.034	352	1880	-57309	-63226
751	SCOPE_17	e19b9ba9-3269-452a-ad6f-924d2850bc3c	2024-02-09T18:39:31+00:00	50.0	50368	35936	34704	5000	0.706	0.652	1.91	2.04	352	1880	-60267	-68047
751	SCOPE_17	e19b9ba9-3269-452a-ad6f-924d2850bc3c	2024-02-09T18:39:31+00:00	97.5	50864	34816	32144	5000	0.678	0.595	1.915	2.047	352	1880	-62589	-71975
