instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
130	TN428	a2f8d414-e70c-4838-88ef-cbedb795f352	2023-02-06T19:44:30+00:00	2.5	51344	49928	51064	15000	0.972	0.995	1.64	1.637	0	0	-34276	-32986
130	TN428	a2f8d414-e70c-4838-88ef-cbedb795f352	2023-02-06T19:44:30+00:00	50	51776	48728	48872	15000	0.941	0.944	1.635	1.632	0	0	-35926	-35626
130	TN428	a2f8d414-e70c-4838-88ef-cbedb795f352	2023-02-06T19:44:30+00:00	97.5	52192	47784	47016	15000	0.916	0.901	1.63	1.627	0	0	-37289	-37900
