instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	SCOPE_Falkor2	0ef8320a-1e0b-4da9-934b-15de35004f05	2024-02-09T18:39:31+00:00	2.5	53648	46096	51968	5000	0.859	0.969	1.64	1.637	0	0	-41887	-35854
740	SCOPE_Falkor2	0ef8320a-1e0b-4da9-934b-15de35004f05	2024-02-09T18:39:31+00:00	50.0	54224	44816	50976	5000	0.826	0.94	1.635	1.632	0	0	-43840	-37518
740	SCOPE_Falkor2	0ef8320a-1e0b-4da9-934b-15de35004f05	2024-02-09T18:39:31+00:00	97.5	54736	43680	49808	5000	0.798	0.91	1.63	1.627	0	0	-45540	-39247
