instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	TN265	3506dac8-1202-4558-9abc-f5999e332215	2024-02-09T18:39:31+00:00	2.5	29232	19408	18112	15000	0.835	0.791	1.64	1.637	-5000	-5000	-28532	-29741
740	TN265	3506dac8-1202-4558-9abc-f5999e332215	2024-02-09T18:39:31+00:00	50.0	29808	15632	15840	15000	0.692	0.699	1.635	1.632	-5000	-5000	-33104	-32807
740	TN265	3506dac8-1202-4558-9abc-f5999e332215	2024-02-09T18:39:31+00:00	97.5	30320	12472	13988	15000	0.576	0.626	1.63	1.627	-5000	-5000	-36950	-35343
