instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	KM1919	b97aa3af-e09b-4334-b4fb-243b95730c5b	2024-02-09T18:39:31+00:00	2.5	43504	20080	22928	5000	0.416	0.481	1.904	2.034	2000	2000	-62752	-65559
751	KM1919	b97aa3af-e09b-4334-b4fb-243b95730c5b	2024-02-09T18:39:31+00:00	50.0	44224	18304	21328	5000	0.369	0.437	1.91	2.04	2000	2000	-66164	-68889
751	KM1919	b97aa3af-e09b-4334-b4fb-243b95730c5b	2024-02-09T18:39:31+00:00	97.5	44912	16732	20016	5000	0.328	0.401	1.915	2.047	2000	2000	-69274	-71919
