instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
130	TN444	b4458f4d-4529-4127-9676-dbde9f19da4b	2025-01-07T19:58:24+00:00	2.5	45856.0	43024.0	40816.0	10000.0	0.938	0.89	1.64	1.637	0.0	0.0	-32180.0	-34250.0
130	TN444	b4458f4d-4529-4127-9676-dbde9f19da4b	2025-01-07T19:58:24+00:00	50.0	46368.0	41728.0	38944.0	10000.0	0.9	0.84	1.635	1.632	0.0	0.0	-34084.0	-36729.0
130	TN444	b4458f4d-4529-4127-9676-dbde9f19da4b	2025-01-07T19:58:24+00:00	97.5	46720.0	40864.0	37024.0	10000.0	0.875	0.792	1.63	1.627	0.0	0.0	-35290.0	-38989.0
