instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT317	60cab22f-2912-4958-aadc-b4351cd78347	2024-02-09T18:39:31+00:00	2.5	50448	37632	36672	5000	0.746	0.727	1.64	1.637	0	0	-45103	-45911
740	HOT317	60cab22f-2912-4958-aadc-b4351cd78347	2024-02-09T18:39:31+00:00	50.0	51024	35232	34496	5000	0.69	0.676	1.635	1.632	0	0	-48192	-48775
740	HOT317	60cab22f-2912-4958-aadc-b4351cd78347	2024-02-09T18:39:31+00:00	97.5	51600	33344	31968	5000	0.646	0.62	1.63	1.627	0	0	-50764	-51985
