instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
989	MBARI_3	e2127254-2d7e-4416-9dda-24705a4914d7	2024-02-09T18:39:31+00:00	2.5	45536	19344	18576	5000	0.425	0.408	1.359	1.324	0	0	-42539	-41714
989	MBARI_3	e2127254-2d7e-4416-9dda-24705a4914d7	2024-02-09T18:39:31+00:00	50.0	46736	17856	16304	5000	0.382	0.349	1.37	1.337	0	0	-46172	-46182
989	MBARI_3	e2127254-2d7e-4416-9dda-24705a4914d7	2024-02-09T18:39:31+00:00	97.5	47776	16160	14400	5000	0.338	0.301	1.382	1.349	0	0	-49866	-50050
