instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SCOPE_15	938ba4ce-0868-4307-bad3-3dd5bfafe075	2024-02-09T18:39:31+00:00	2.5	53440	31152	38240	5000	0.583	0.686	1.904	2.034	0	1584	-70598	-70457
751	SCOPE_15	938ba4ce-0868-4307-bad3-3dd5bfafe075	2024-02-09T18:39:31+00:00	50.0	54192	29824	34400	5000	0.55	0.606	1.91	2.04	0	1584	-73683	-76152
751	SCOPE_15	938ba4ce-0868-4307-bad3-3dd5bfafe075	2024-02-09T18:39:31+00:00	97.5	54768	28368	29888	5000	0.518	0.517	1.915	2.047	0	1584	-76513	-82222
