instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT314	d0970cea-97c9-41d3-b506-89a578b1915a	2024-02-09T18:39:31+00:00	2.5	45488	43728	49584	5000	0.961	1.09	1.64	1.637	0	0	-30872	-24880
740	HOT314	d0970cea-97c9-41d3-b506-89a578b1915a	2024-02-09T18:39:31+00:00	50.0	46576	41680	47120	5000	0.895	1.012	1.635	1.632	0	0	-34472	-28892
740	HOT314	d0970cea-97c9-41d3-b506-89a578b1915a	2024-02-09T18:39:31+00:00	97.5	47824	39136	44496	5000	0.818	0.93	1.63	1.627	0	0	-38817	-33314
