instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT315	d3745971-6ae8-4696-b7c4-206781144508	2024-02-09T18:39:31+00:00	2.5	46288	43136	47248	5000	0.932	1.021	1.64	1.637	0	0	-32776	-28525
740	HOT315	d3745971-6ae8-4696-b7c4-206781144508	2024-02-09T18:39:31+00:00	50.0	47040	40448	44944	5000	0.86	0.955	1.635	1.632	0	0	-36462	-31825
740	HOT315	d3745971-6ae8-4696-b7c4-206781144508	2024-02-09T18:39:31+00:00	97.5	47600	38000	42800	5000	0.798	0.899	1.63	1.627	0	0	-39588	-34645
