instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT318	930c7f81-ed93-469b-8f78-127b08d7dc19	2024-02-09T18:39:31+00:00	2.5	47056	40704	36696	5000	0.865	0.78	1.64	1.637	0	0	-36468	-40335
740	HOT318	930c7f81-ed93-469b-8f78-127b08d7dc19	2024-02-09T18:39:31+00:00	50.0	49248	36216	34032	5000	0.735	0.691	1.635	1.632	0	0	-44304	-46341
740	HOT318	930c7f81-ed93-469b-8f78-127b08d7dc19	2024-02-09T18:39:31+00:00	97.5	50928	32528	31232	5000	0.639	0.613	1.63	1.627	0	0	-50485	-51628
