instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT328	c1b094a6-1fa5-4f47-8561-d3ad26fa161d	2024-02-09T18:39:31+00:00	2.5	45040	26544	25136	15000	0.589	0.558	1.64	1.637	0	0	-47322	-48594
740	HOT328	c1b094a6-1fa5-4f47-8561-d3ad26fa161d	2024-02-09T18:39:31+00:00	50.0	46048	24896	23616	15000	0.541	0.513	1.635	1.632	0	0	-50392	-51534
740	HOT328	c1b094a6-1fa5-4f47-8561-d3ad26fa161d	2024-02-09T18:39:31+00:00	97.5	46816	23440	21728	15000	0.501	0.464	1.63	1.627	0	0	-52870	-54442
