instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT321	16690033-24af-4b7c-8660-c5affa837e67	2024-02-09T18:39:31+00:00	2.5	49920	22752	22752	10000	0.456	0.496	1.64	1.637	0	-2000	-59117	-58967
740	HOT321	16690033-24af-4b7c-8660-c5affa837e67	2024-02-09T18:39:31+00:00	50.0	50816	21424	20624	10000	0.422	0.445	1.635	1.632	0	-2000	-61660	-62308
740	HOT321	16690033-24af-4b7c-8660-c5affa837e67	2024-02-09T18:39:31+00:00	97.5	51488	20160	18384	10000	0.392	0.396	1.63	1.627	0	-2000	-63765	-65387
