instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT331	cca8f925-4061-47f9-8e4a-36ebd346117c	2024-02-09T18:39:31+00:00	2.5	42992	31168	29648	15000	0.725	0.69	1.64	1.637	0	0	-39339	-40730
740	HOT331	cca8f925-4061-47f9-8e4a-36ebd346117c	2024-02-09T18:39:31+00:00	50.0	43824	29856	27824	15000	0.681	0.635	1.635	1.632	0	0	-41796	-43697
740	HOT331	cca8f925-4061-47f9-8e4a-36ebd346117c	2024-02-09T18:39:31+00:00	97.5	44496	28944	25952	15000	0.65	0.583	1.63	1.627	0	0	-43584	-46443
