instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SR1917	48a51f28-2231-4b3e-8eee-d9ed8e51e7f1	2024-02-09T18:39:31+00:00	2.5	46560	37504	35328	5000	0.72	0.694	1.904	2.034	4000	3000	-51146	-59375
751	SR1917	48a51f28-2231-4b3e-8eee-d9ed8e51e7f1	2024-02-09T18:39:31+00:00	50.0	47184	36464	33088	5000	0.688	0.638	1.91	2.04	4000	3000	-53657	-63167
751	SR1917	48a51f28-2231-4b3e-8eee-d9ed8e51e7f1	2024-02-09T18:39:31+00:00	97.5	47632	35600	31376	5000	0.663	0.596	1.915	2.047	4000	3000	-55615	-66127
