instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SCOPE_18	3d8c3c50-7e22-4ceb-b5e2-99c958ed84d5	2024-02-09T18:39:31+00:00	2.5	47888	45184	44320	5000	0.944	0.925	1.904	2.034	0	0	-45995	-53084
751	SCOPE_18	3d8c3c50-7e22-4ceb-b5e2-99c958ed84d5	2024-02-09T18:39:31+00:00	50.0	49040	43408	42056	5000	0.885	0.858	1.91	2.04	0	0	-50258	-57986
751	SCOPE_18	3d8c3c50-7e22-4ceb-b5e2-99c958ed84d5	2024-02-09T18:39:31+00:00	97.5	50048	40256	38636	5000	0.804	0.772	1.915	2.047	0	0	-55586	-63812
