instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	KM1713	57f2aad1-ef0f-4053-ba5a-ef3899bcc3b7	2024-02-09T18:39:31+00:00	2.5	52032	44464	50080	5000	0.855	0.962	1.64	1.637	0	0	-40868	-35096
740	KM1713	57f2aad1-ef0f-4053-ba5a-ef3899bcc3b7	2024-02-09T18:39:31+00:00	50.0	52880	42880	48672	5000	0.811	0.92	1.635	1.632	0	0	-43579	-37628
740	KM1713	57f2aad1-ef0f-4053-ba5a-ef3899bcc3b7	2024-02-09T18:39:31+00:00	97.5	53552	41360	47264	5000	0.772	0.883	1.63	1.627	0	0	-45930	-39865
