instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	Thompson_11	8932f96b-e9f0-469d-beab-6cb7dbfe7710	2024-02-09T18:39:31+00:00	2.5	48192	32864	35136	5000	0.682	0.729	1.64	1.637	0	0	-46171	-43754
740	Thompson_11	8932f96b-e9f0-469d-beab-6cb7dbfe7710	2024-02-09T18:39:31+00:00	50.0	48992	30824	32768	5000	0.629	0.669	1.635	1.632	0	0	-49278	-47187
740	Thompson_11	8932f96b-e9f0-469d-beab-6cb7dbfe7710	2024-02-09T18:39:31+00:00	97.5	49760	27228	29648	5000	0.547	0.596	1.63	1.627	0	0	-53881	-51312
