instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SCOPE_16	89078ac4-a255-445a-b9b8-74e700ecb50b	2024-02-09T18:39:31+00:00	2.5	50516	36672	42724	5000	0.66	0.809	1.904	2.034	3320	1856	-59510	-60026
751	SCOPE_16	89078ac4-a255-445a-b9b8-74e700ecb50b	2024-02-09T18:39:31+00:00	50.0	51136	35328	38240	5000	0.626	0.712	1.91	2.04	3320	1856	-62342	-66077
751	SCOPE_16	89078ac4-a255-445a-b9b8-74e700ecb50b	2024-02-09T18:39:31+00:00	97.5	51664	34176	34460	5000	0.597	0.631	1.915	2.047	3320	1856	-64761	-71296
