instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	Thompson_6	eb923183-504c-4d29-9e20-dbc658b43b4e	2024-02-09T18:39:31+00:00	2.5	35296	26704	27872	15000	0.898	0.931	1.64	1.637	-5000	-5000	-31181	-29908
740	Thompson_6	eb923183-504c-4d29-9e20-dbc658b43b4e	2024-02-09T18:39:31+00:00	50.0	35696	22560	24368	15000	0.772	0.823	1.635	1.632	-5000	-5000	-35803	-33888
740	Thompson_6	eb923183-504c-4d29-9e20-dbc658b43b4e	2024-02-09T18:39:31+00:00	97.5	36032	18840	19584	15000	0.662	0.682	1.63	1.627	-5000	-5000	-39892	-39040
