instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT-294	2619c524-45a1-4d87-8a7d-ccd7ec7db67b	2024-02-09T18:39:31+00:00	2.5	52896	32016	37664	5000	0.605	0.712	1.64	1.637	0	0	-54733	-48927
740	HOT-294	2619c524-45a1-4d87-8a7d-ccd7ec7db67b	2024-02-09T18:39:31+00:00	50.0	53480	30624	36032	5000	0.573	0.674	1.635	1.632	0	0	-56816	-51247
740	HOT-294	2619c524-45a1-4d87-8a7d-ccd7ec7db67b	2024-02-09T18:39:31+00:00	97.5	53888	28992	34576	5000	0.538	0.642	1.63	1.627	0	0	-58845	-53100
