instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
130	TN414	df2fc6ef-8baa-46ed-92dc-a6a0923521ec	2024-02-09T18:39:31+00:00	2.5	52160	43776	38752	15000	0.935	0.839	1.64	1.637	-5000	-5000	-41766	-46634
130	TN414	df2fc6ef-8baa-46ed-92dc-a6a0923521ec	2024-02-09T18:39:31+00:00	50.0	52576	42848	37328	15000	0.91	0.805	1.635	1.632	-5000	-5000	-43114	-48476
130	TN414	df2fc6ef-8baa-46ed-92dc-a6a0923521ec	2024-02-09T18:39:31+00:00	97.5	52960	42112	36020	15000	0.89	0.775	1.63	1.627	-5000	-5000	-44213	-50146
