instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT303	bba682bb-4da3-449a-bfff-9fee66b500de	2024-02-09T18:39:31+00:00	2.5	54384	34208	39408	5000	0.629	0.725	1.64	1.637	0	0	-54982	-49619
740	HOT303	bba682bb-4da3-449a-bfff-9fee66b500de	2024-02-09T18:39:31+00:00	50.0	55088	32128	37920	5000	0.583	0.688	1.635	1.632	0	0	-57941	-51984
740	HOT303	bba682bb-4da3-449a-bfff-9fee66b500de	2024-02-09T18:39:31+00:00	97.5	55744	30292	36800	5000	0.543	0.66	1.63	1.627	0	0	-60571	-53895
