instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
751	SCOPE_9	c6c69cee-d5e4-41a3-8412-3d7bb07f03c5	2024-02-09T18:39:31+00:00	2.5	56432	39408	40176	5000	0.694	0.665	1.904	2.034	268.8	2624	-68039	-74607
751	SCOPE_9	c6c69cee-d5e4-41a3-8412-3d7bb07f03c5	2024-02-09T18:39:31+00:00	50.0	57088	37504	37968	5000	0.652	0.619	1.91	2.04	268.8	2624	-71534	-78492
751	SCOPE_9	c6c69cee-d5e4-41a3-8412-3d7bb07f03c5	2024-02-09T18:39:31+00:00	97.5	57520	36272	35920	5000	0.626	0.579	1.915	2.047	268.8	2624	-73879	-81823
