instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	SCOPE_4	fef17d83-0845-453e-b852-2206d1ab1a42	2024-02-09T18:39:31+00:00	2.5	52560	31664	38288	5000	0.602	0.728	1.64	1.637	0	0	-54534	-47753
740	SCOPE_4	fef17d83-0845-453e-b852-2206d1ab1a42	2024-02-09T18:39:31+00:00	50.0	53408	30304	34256	5000	0.567	0.641	1.635	1.632	0	0	-57018	-52906
740	SCOPE_4	fef17d83-0845-453e-b852-2206d1ab1a42	2024-02-09T18:39:31+00:00	97.5	54144	28976	31040	5000	0.535	0.573	1.63	1.627	0	0	-59279	-57052
