instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	SCOPE_5	0be381ed-d2de-472c-affc-4020b2bc1d99	2024-02-09T18:39:31+00:00	2.5	52696	31268	37472	5000	0.593	0.711	1.64	1.637	0	0	-55153	-48791
740	SCOPE_5	0be381ed-d2de-472c-affc-4020b2bc1d99	2024-02-09T18:39:31+00:00	50.0	53440	30096	33984	5000	0.563	0.636	1.635	1.632	0	0	-57278	-53230
740	SCOPE_5	0be381ed-d2de-472c-affc-4020b2bc1d99	2024-02-09T18:39:31+00:00	97.5	54176	28896	30960	5000	0.533	0.571	1.63	1.627	0	0	-59411	-57184
