instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT304	15389ac7-30b2-4cfb-ac7c-8be9cc2ae745	2024-02-09T18:39:31+00:00	2.5	52448	38848	44192	5000	0.741	0.843	1.64	1.637	0	0	-47167	-41665
740	HOT304	15389ac7-30b2-4cfb-ac7c-8be9cc2ae745	2024-02-09T18:39:31+00:00	50.0	53344	36528	42944	5000	0.685	0.805	1.635	1.632	0	0	-50689	-44113
740	HOT304	15389ac7-30b2-4cfb-ac7c-8be9cc2ae745	2024-02-09T18:39:31+00:00	97.5	54352	34448	41792	5000	0.634	0.769	1.63	1.627	0	0	-54146	-46639
