instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
740	HOT307	5e616220-ce5e-4869-856b-f9c6230d453e	2024-02-09T18:39:31+00:00	2.5	46368	30640	37936	5000	0.661	0.818	1.64	1.637	0	0	-45404	-37968
740	HOT307	5e616220-ce5e-4869-856b-f9c6230d453e	2024-02-09T18:39:31+00:00	50.0	47040	29024	36304	5000	0.617	0.772	1.635	1.632	0	0	-47886	-40465
740	HOT307	5e616220-ce5e-4869-856b-f9c6230d453e	2024-02-09T18:39:31+00:00	97.5	47552	27072	34816	5000	0.569	0.732	1.63	1.627	0	0	-50438	-42551
